strain 	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	originating_lab	submitting_lab	authors	url	title	date_submitted
China2/2019	ncov	?	MN908947	2019-12-XX	Asia	China	Wuhan		Asia	China	Hubei	genome	29903	Homo sapiens	?	?	?	?	Wu F. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MN908947	Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome	2020-01-12
China15/2020	ncov	?	MT226610	2020-01-20	Asia	China			Asia	China	China	genome	29899	Homo sapiens	?	?	?	?	Xu X. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT226610	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/KMS1/2020, complete genome	2020-03-20
China3/2019	ncov	?	MT019529	2019-12-23	Asia	China	Wuhan		Asia	China	Hubei	genome	29899	Homo sapiens	?	?	?	?	Ren L. et al. 	https://www.ncbi.nlm.nih.gov/nuccore/MT019529	Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-01/2019, complete genome	2020-02-05
China4/2019	ncov	?	MT019531	2019-12-30	Asia	China	Wuhan		Asia	China	Hubei	genome	29899	Homo sapiens	?	?	?	?	Ren L. et al. 	https://www.ncbi.nlm.nih.gov/nuccore/MT019531	Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-03/2019, complete genome	2020-02-05
China16/2020	ncov	?	MT079854	2020-01-22	Asia	China			Asia	China	China	genome	29897	Homo sapiens	?	?	?	?	Wang X. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT079854	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/WHUHnCoV021/2020, complete genome	2020-05-15
China17/2020	ncov	?	MT079852	2020-01-22	Asia	China			Asia	China	China	genome	29891	Homo sapiens	?	?	?	?	Wang X. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT079852	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/WHUHnCoV012/2020, complete genome	2020-05-15
China18/2020	ncov	?	MT123290	2020-02-05	Asia	China	Guangzhou		Asia	China	Guangdong	genome	29891	Homo sapiens	?	?	?	?	Shi Y. et al. 	https://www.ncbi.nlm.nih.gov/nuccore/MT123290	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/IQTC01/2020, complete genome	2020-02-28
China5/2019	ncov	?	MN996528	2019-12-30	Asia	China	Wuhan		Asia	China	Hubei	genome	29891	Homo sapiens	?	?	?	?	Zhou P. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MN996528	Severe acute respiratory syndrome coronavirus 2 isolate WIV04, complete genome	2020-01-29
China19/2020	ncov	?	MN975262	2020-01-11	Asia	China			Asia	China	China	genome	29891	Homo sapiens	?	?	?	?	Chan J.F.W. et al. 	https://www.ncbi.nlm.nih.gov/nuccore/MN975262	Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV_HKU-SZ-005b_2020, complete genome	2020-01-24
China6/2019	ncov	?	MT019532	2019-12-30	Asia	China	Wuhan		Asia	China	Hubei	genome	29890	Homo sapiens	?	?	?	?	Ren L. et al. 	https://www.ncbi.nlm.nih.gov/nuccore/MT019532	Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-04/2019, complete genome	2020-02-05
China20/2020	ncov	?	MT622319	2020-01-23	Asia	China	Shanghai		Asia	China	Shanghai	genome	29889	Homo sapiens	?	?	?	?	Peng H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT622319	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Shanghai_CH-03/2020, complete genome	2020-06-16
China7/2019	ncov	?	MT019530	2019-12-30	Asia	China			Asia	China	China	genome	29889	Homo sapiens	?	?	?	?	Ren L. et al. 	https://www.ncbi.nlm.nih.gov/nuccore/MT019530	Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-02/2019, complete genome	2020-02-05
China21/2020	ncov	?	MT079850	2020-01-22	Asia	China			Asia	China	China	genome	29885	Homo sapiens	?	?	?	?	Wang X. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT079850	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/WHUHnCoV008/2020, complete genome	2020-05-15
China22/2020	ncov	?	MT019533	2020-01-01	Asia	China	Wuhan		Asia	China	Hubei	genome	29883	Homo sapiens	?	?	?	?	Ren L. et al. 	https://www.ncbi.nlm.nih.gov/nuccore/MT019533	Severe acute respiratory syndrome coronavirus 2 isolate BetaCoV/Wuhan/IPBCAMS-WH-05/2020, complete genome	2020-02-05
China23/2020	ncov	?	MT123291	2020-01-29	Asia	China	Guangzhou		Asia	China	Guangdong	genome	29882	Homo sapiens	?	?	?	?	Shi Y. et al. 	https://www.ncbi.nlm.nih.gov/nuccore/MT123291	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/IQTC02/2020, complete genome	2020-02-28
China24/2020	ncov	?	MN988668	2020-01-02	Asia	China	Wuhan		Asia	China	Hubei	genome	29881	Homo sapiens	?	?	?	?	Chen L. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MN988668	Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV WHU01, complete genome	2020-01-28
China25/2020	ncov	?	MT079848	2020-01-22	Asia	China	Wuhan		Asia	China	Hubei	genome	29880	Homo sapiens	?	?	?	?	Wang X. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT079848	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/WHUHnCoV006/2020, complete genome	2020-05-15
China26/2020	ncov	?	MT446312	2020-02-05	Asia	China	Guangzhou		Asia	China	Guangdong	genome	29879	Homo sapiens	?	?	?	?	Sun J. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT446312	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/Guangzhou/IQTC05/2020, complete genome	2020-05-08
China27/2020	ncov	?	MT079847	2020-01-22	Asia	China	Wuhan		Asia	China	Hubei	genome	29872	Homo sapiens	?	?	?	?	Wang X. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT079847	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/WHUHnCoV005/2020, complete genome	2020-01-22
China28/2020	ncov	?	MT291831	2020-01-24	Asia	China	Beijing		Asia	China	Beijing	genome	29872	Homo sapiens	?	?	?	?	Fan H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT291831	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Beijing_IME-BJ01/2020, complete genome	2020-04-06
China8/2019	ncov	?	LR757995	2019-12-26	Asia	China	Wuhan		Asia	China	Hubei	genome	29872	Homo sapiens	?	?	?	?	Hunter C. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LR757995	Wuhan seafood market pneumonia virus genome assembly, chromosome: whole_genome	2020-02-01
China29/2020	ncov	?	MT123293	2020-01-29	Asia	China	Guangzhou		Asia	China	Guangdong	genome	29871	Homo sapiens	?	?	?	?	Zheng K. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT123293	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/IQTC03/2020, complete genome	2020-02-28
China30/2020	ncov	?	MT568641	2020-02-25	Asia	China	Guangzhou		Asia	China	Guangdong	genome	29868	Homo sapiens	?	?	?	?	Zhao J. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT568641	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/GZMU0048/2020, complete genome	2020-06-05
China31/2020	ncov	?	MT259226	2020-01-10	Asia	China	Wuhan		Asia	China	China	genome	29868	Homo sapiens	?	?	?	?	Si H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT259226	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Wuhan_OS52/2020, complete genome	2020-03-30
China32/2020	ncov	?	MT568639	2020-02-25	Asia	China	Guangzhou		Asia	China	Guangdong	genome	29861	Homo sapiens	?	?	?	?	Zhao J. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT568639	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/GZMU0044/2020, complete genome	2020-06-05
China33/2020	ncov	?	MT627325	2020-02-28	Asia	China	Shanghai		Asia	China	Shanghai	genome	29859	Homo sapiens	?	?	?	?	Peng H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT627325	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Shanghai_CH-02/2020, complete genome	2020-06-17
China34/2020	ncov	?	MT568636	2020-02-27	Asia	China	Guangzhou		Asia	China	Guangdong	genome	29858	Homo sapiens	?	?	?	?	Zhao J. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT568636	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/GZMU0030/2020, complete genome	2020-06-05
China35/2020	ncov	?	MT534630	2020-01-26	Asia	China	Changzhou		Asia	China	Jiangsu	genome	29845	Homo sapiens	?	?	?	?	Cui L.	https://www.ncbi.nlm.nih.gov/nuccore/MT534630	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Changzhou_JS27/2020, complete genome	2020-05-29
China36/2020	ncov	?	MN938384	2020-01-10	Asia	China	Shenzhen		Asia	China	Guangdong	genome	29838	Homo sapiens	?	?	?	?	Chan J.F.W. et al. 	https://www.ncbi.nlm.nih.gov/nuccore/MN938384	Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV_HKU-SZ-002a_2020, complete genome	2020-01-10
China37/2020	ncov	?	MT407652	2020-01-26	Asia	China			Asia	China	Zhejiang	genome	29835	Homo sapiens	?	?	?	?	Gao Q. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT407652	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/CN3/2020, complete genome	2020-05-29
China38/2020	ncov	?	MT407653	2020-01-26	Asia	China			Asia	China	Zhejiang	genome	29835	Homo sapiens	?	?	?	?	Gao Q. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT407653	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/CN4/2020, complete genome	2020-05-29
China39/2020	ncov	?	MT407656	2020-03-24	Asia	China			Asia	China	Zhejiang	genome	29835	Homo sapiens	?	?	?	?	Gao Q. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT407656	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/OS6/2020, complete genome	2020-05-29
China40/2020	ncov	?	MT407649	2020-01-22	Asia	China			Asia	China	Zhejiang	genome	29833	Homo sapiens	?	?	?	?	Gao Q. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT407649	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/CN1/2020, complete genome	2020-05-29
China41/2020	ncov	?	MT039873	2020-01-20	Asia	China	Hangzhou		Asia	China	Zhejiang	genome	29833	Homo sapiens	?	?	?	?	Yu H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT039873	Severe acute respiratory syndrome coronavirus 2 isolate HZ-1, complete genome	2020-02-11
China42/2020	ncov	?	MT407659	2020-03-24	Asia	China			Asia	China	Zhejiang	genome	29828	Homo sapiens	?	?	?	?	Gao Q. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT407659	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/OS4/2020, complete genome	2020-05-29
China43/2020	ncov	?	MT407654	2020-03-24	Asia	China			Asia	China	Zhejiang	genome	29817	Homo sapiens	?	?	?	?	Gao Q. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT407654	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/OS1/2020, complete genome	2020-05-29
China44/2020	ncov	?	MT407655	2020-03-24	Asia	China			Asia	China	Zhejiang	genome	29817	Homo sapiens	?	?	?	?	Gao Q. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT407655	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/OS5/2020, complete genome	2020-05-29
China45/2020	ncov	?	MT135043	2020-01-28	Asia	China	Beijing		Asia	China	Beijing	genome	29903	Homo sapiens	?	?	?	?	Li J. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT135043	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/233/2020, complete genome	2020-03-04
China46/2020	ncov	?	MT135044	2020-01-28	Asia	China	Beijing		Asia	China	Beijing	genome	29903	Homo sapiens	?	?	?	?	Li J. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT135044	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/235/2020, complete genome	2020-03-04
China47/2020	ncov	?	LR757996	2020-01-01	Asia	China	Wuhan		Asia	China	Hubei	genome	29868	Homo sapiens	?	?	?	?	Hunter C. et al.	https://www.ncbi.nlm.nih.gov/nuccore/LR757996	Wuhan seafood market pneumonia virus genome assembly, chromosome: whole_genome	2020-02-01
HongKong1/2020	ncov	?	MT644268	2020-01-22	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29839	Homo sapiens	?	?	?	?	Riojas M.A. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT644268	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/VM20001061/2020, complete genome	2020-06-19
HongKong2/2020	ncov	?	MT621560	2020-03-XX	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29873	Homo sapiens	?	?	?	?	Hu B. et al. 	https://www.ncbi.nlm.nih.gov/nuccore/MT621560	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKU_HK/2020, complete genome	2020-06-16
HongKong3/2020	ncov	?	MT517419	2020-04-01	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29782	Homo sapiens	?	?	?	?	Au C.H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT517419	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKSH0007/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-06-03
HongKong4/2020	ncov	?	MT510744	2020-03-14	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29733	Homo sapiens	?	?	?	?	Au C.H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT510744	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKSH0003/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds	2020-06-02
HongKong5/2020	ncov	?	MT510745	2020-03-14	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29611	Homo sapiens	?	?	?	?	Au C.H. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT510745	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKSH0004/2020 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; ORF8 protein (ORF8) and nucleocapsid phosphoprotein (N) genes, complete cds; and ORF10 protein (ORF10) gene, partial cds 	2020-06-02
HongKong6/2020	ncov	?	MT547814	2020-01-22	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29829	Homo sapiens	?	?	?	?	Riojas M.A. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT547814	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/VM20001061/2020, complete genome	2020-06-01
HongKong7/2020	ncov	?	MT365028	2020-01-24	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29891	Homo sapiens	?	?	?	?	To K.W.W. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT365028	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKU-905a/2020, complete genome	2020-05-05
HongKong8/2020	ncov	?	MT365029	2020-01-30	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29891	Homo sapiens	?	?	?	?	To K.W.W. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT365029	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKU-911a/2020, complete genome	2020-05-05
HongKong9/2020	ncov	?	MT365030	2020-01-31	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29891	Homo sapiens	?	?	?	?	To K.W.W. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT365030	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKU-913a/2020, complete genome	2020-05-05
HongKong10/2020	ncov	?	MT365031	2020-02-02	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29891	Homo sapiens	?	?	?	?	To K.W.W. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT365031	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKU-915a/2020, complete genome	2020-05-05
HongKong11/2020	ncov	?	MT365032	2020-01-30	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29887	Homo sapiens	?	?	?	?	To K.W.W. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT365032	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKU-904a/2020, complete genome	2020-05-05
HongKong12/2020	ncov	?	MT215194	2020-02-24	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29764	Homo sapiens	?	?	?	?	Sit T.H.S. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT215194	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG.85_VM20002868/2020, complete genome	2020-05-01
HongKong13/2020	ncov	?	MT215195	2020-02-25	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29764	Homo sapiens	?	?	?	?	Sit T.H.S. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT215195	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/90_VM20002907/2020, complete genome	2020-05-01
HongKong14/2020	ncov	?	MT270815	2020-03-16	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29764	Homo sapiens	?	?	?	?	Sit T.H.S. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT270815	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/case163_VM20009579/2020, complete genome	2020-05-01
HongKong15/2020	ncov	?	MT276600	2020-03-08	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29764	Homo sapiens	?	?	?	?	Sit T.H.S. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT276600	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/case113_VM2003179/2020, complete genome	2020-05-01
HongKong16/2020	ncov	?	MT114412	2020-01-23	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29889	Homo sapiens	?	?	?	?	To K.W.W. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT114412	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKU-902a/2020, complete genome	2020-04-20
HongKong17/2020	ncov	?	MT114413	2020-01-24	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29891	Homo sapiens	?	?	?	?	To K.W.W. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT114413	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKU-902b/2020, complete genome	2020-04-20
HongKong18/2020	ncov	?	MT114415	2020-01-27	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29891	Homo sapiens	?	?	?	?	To K.W.W. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT114415	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKU-903b/2020, complete genome	2020-04-20
HongKong19/2020	ncov	?	MT114417	2020-01-29	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29891	Homo sapiens	?	?	?	?	To K.W.W. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT114417	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKU-907b/2020, complete genome	2020-04-20
HongKong20/2020	ncov	?	MT230904	2020-01-22	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29891	Homo sapiens	?	?	?	?	Chan J.F.W. et al. 	https://www.ncbi.nlm.nih.gov/nuccore/MT230904	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKU-001a/2020, complete genome	2020-04-20
HongKong21/2020	ncov	?	MT186683	2020-01-XX	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29888	Homo sapiens	?	?	?	?	Lau S.K.P. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT186683	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HK20/2020, complete genome	2020-04-24
HongKong22/2020	ncov	?	MT114414	2020-01-24	Asia	Hong Kong			Asia	Hong Kong	Hong Kong	genome	29891	Homo sapiens	?	?	?	?	To K.W.W. et al.	https://www.ncbi.nlm.nih.gov/nuccore/MT114414	Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/HKG/HKU-903a/2020, complete genome	2020-04-20
